blastdbSeqID_replaced	blastdbSeqID_original	blastdbSeqLen	genename
MGE_0	IS-LL6_IS3_IS3	1254	IS-LL6
MGE_1	IS1000A_IS110_unknown	1196	IS1000A
MGE_2	IS1001_ISL3_unknown	1306	IS1001
MGE_3	IS1002_IS481_unknown	1030	IS1002
MGE_4	IS1004_IS200/IS605_IS200	620	IS1004
MGE_5	IS1007_IS6_unknown	819	IS1007
MGE_6	IS1008_IS6_unknown	820	IS1008
MGE_7	IS100kyp_IS21_unknown	1954	IS100kyp
MGE_8	IS100X_IS21_unknown	1924	IS100X
MGE_9	IS1016_IS1595_IS1016	713	IS1016
MGE_10	IS1016C2_IS1595_IS1016	713	IS1016C2
MGE_11	IS1016V5_IS1595_IS1016	242	IS1016V5
MGE_12	IS1021_IS5_IS5	1209	IS1021
MGE_13	IS103_IS3_IS150	1443	IS103
MGE_14	IS1031A_IS5_IS1031	930	IS1031A
MGE_15	IS1032_IS5_IS1031	916	IS1032
MGE_16	IS1051_IS5_IS5	1158	IS1051
MGE_17	IS1062_IS30_unknown	1062	IS1062
MGE_18	IS1066_IS630_unknown	1137	IS1066
MGE_19	IS1070_IS30_unknown	1027	IS1070
MGE_20	IS1076_IS3_IS3	1296	IS1076
MGE_21	IS1081_IS256_unknown	1435	IS1081
MGE_22	IS1086_IS30_unknown	1106	IS1086
MGE_23	IS1087_IS3_IS2	1330	IS1087
MGE_24	IS1088_IS30_unknown	1103	IS1088
MGE_25	IS1096_ISL3_unknown	2259	IS1096
MGE_26	IS110_IS110_unknown	1558	IS110
MGE_27	IS1106_IS5_IS5	1137	IS1106
MGE_28	IS1110_IS110_unknown	1462	IS1110
MGE_29	IS1111C_IS110_IS1111	1452	IS1111C
MGE_30	IS1112_IS30_unknown	1055	IS1112
MGE_31	IS1113_IS256_unknown	1306	IS1113
MGE_32	IS1121_IS481_unknown	1068	IS1121
MGE_33	IS1132_IS256_unknown	1441	IS1132
MGE_34	IS1133_IS3_IS3	1232	IS1133
MGE_35	IS1136_IS200/IS605_IS1341	1402	IS1136
MGE_36	IS1137_IS3_IS51	1361	IS1137
MGE_37	IS1138_IS3_IS150	1288	IS1138
MGE_38	IS1141_IS3_IS3	1588	IS1141
MGE_39	IS1151_IS4_IS231	1689	IS1151
MGE_40	IS116_IS110_unknown	1421	IS116
MGE_41	IS1161_IS30_unknown	1165	IS1161
MGE_42	IS1162_IS21_unknown	2634	IS1162
MGE_43	IS1163_IS3_IS3	1180	IS1163
MGE_44	IS1164_IS256_unknown	1430	IS1164
MGE_45	IS1165_ISL3_unknown	1553	IS1165
MGE_46	IS1167_ISL3_unknown	1435	IS1167
MGE_47	IS1167A_ISL3_unknown	1419	IS1167A
MGE_48	IS1168_IS5_IS5	1320	IS1168
MGE_49	IS1169_IS5_IS5	1317	IS1169
MGE_50	IS117_IS110_unknown	2527	IS117
MGE_51	IS1170_IS1380_IS942	1604	IS1170
MGE_52	IS1181_ISL3_unknown	1513	IS1181
MGE_53	IS1182_IS1182_unknown	1864	IS1182
MGE_54	IS1187_IS982_unknown	1028	IS1187
MGE_55	IS1188_IS1380_unknown	1691	IS1188
MGE_56	IS1191_IS256_unknown	1313	IS1191
MGE_57	IS1193_ISL3_unknown	1411	IS1193
MGE_58	IS1194_IS5_IS5	1200	IS1194
MGE_59	IS120_IS3_IS150	1447	IS120
MGE_60	IS1201_IS256_unknown	1371	IS1201
MGE_61	IS1202_ISNCY_IS1202	1747	IS1202
MGE_62	IS1206_IS3_IS51	1290	IS1206
MGE_63	IS1221G_IS3_IS150	1527	IS1221G
MGE_64	IS1221H_IS3_IS150	1557	IS1221H
MGE_65	IS1222_IS3_IS407	1221	IS1222
MGE_66	IS1223_IS3_IS150	1494	IS1223
MGE_67	IS1239_IS30_unknown	1080	IS1239
MGE_68	IS1240_IS3_IS3	1668	IS1240
MGE_69	IS1245_IS256_unknown	1414	IS1245
MGE_70	IS1246_IS5_IS5	1275	IS1246
MGE_71	IS1247_IS1380_unknown	1672	IS1247
MGE_72	IS1248A_IS5_IS427	832	IS1248A
MGE_73	IS1252_IS30_unknown	1065	IS1252
MGE_74	IS12528_IS5_IS1031	905	IS12528
MGE_75	IS1253B_IS200/IS605_IS605	1698	IS1253B
MGE_76	IS1271_IS4_IS4	1414	IS1271
MGE_77	IS1294_IS91_unknown	1688	IS1294
MGE_78	IS1295_IS256_unknown	1456	IS1295
MGE_79	IS1296_IS3_IS150	1485	IS1296
MGE_80	IS1297_IS6_unknown	808	IS1297
MGE_81	IS1301_IS5_IS427	842	IS1301
MGE_82	IS1302_IS3_IS150	1306	IS1302
MGE_83	IS1310_IS256_unknown	1352	IS1310
MGE_84	IS1311_IS256_unknown	1416	IS1311
MGE_85	IS1312_IS3_IS2	1317	IS1312
MGE_86	IS1313_IS66_unknown	2547	IS1313
MGE_87	IS1327_IS6_unknown	810	IS1327
MGE_88	IS1328_IS110_IS1111	1343	IS1328
MGE_89	IS1341_IS200/IS605_IS1341	1353	IS1341
MGE_90	IS1351_IS3_IS407	1207	IS1351
MGE_91	IS1354_IS256_unknown	1431	IS1354
MGE_92	IS1355_IS5_IS1031	970	IS1355
MGE_93	IS1356_IS256_unknown	1354	IS1356
MGE_94	IS1357_IS701_unknown	1435	IS1357
MGE_95	IS1358_ISAs1_unknown	1326	IS1358
MGE_96	IS1372_IS3_IS51	1304	IS1372
MGE_97	IS1373_IS5_ISL2	817	IS1373
MGE_98	IS1380A_IS1380_unknown	1665	IS1380A
MGE_99	IS1381_IS5_ISL2	846	IS1381
MGE_100	IS1381A_IS5_ISL2	900	IS1381A
MGE_101	IS1382_IS30_unknown	1093	IS1382
MGE_102	IS1383_IS110_IS1111	1419	IS1383
MGE_103	IS13869_ISL3_unknown	1437	IS13869
MGE_104	IS1394_IS30_unknown	1100	IS1394
MGE_105	IS1396_ISL3_unknown	1771	IS1396
MGE_106	IS1397_IS3_IS150	1432	IS1397
MGE_107	IS1400_IS3_IS407	1207	IS1400
MGE_108	IS1405_IS5_IS5	1174	IS1405
MGE_109	IS1406_IS5_unknown	1214	IS1406
MGE_110	IS1407_IS256_unknown	1422	IS1407
MGE_111	IS1411_ISL3_unknown	1419	IS1411
MGE_112	IS1412_IS1380_unknown	1656	IS1412
MGE_113	IS1413_IS256_unknown	1428	IS1413
MGE_114	IS1414_IS256_unknown	1197	IS1414
MGE_115	IS1415_IS21_unknown	2580	IS1415
MGE_116	IS1416_IS3_IS51	1322	IS1416
MGE_117	IS1419_IS481_unknown	1215	IS1419
MGE_118	IS1420_IS5_IS903	1131	IS1420
MGE_119	IS1421_IS5_IS427	864	IS1421
MGE_120	IS1452_IS701_unknown	1411	IS1452
MGE_121	IS1469_IS200/IS605_IS200	693	IS1469
MGE_122	IS1470_IS30_unknown	1212	IS1470
MGE_123	IS1471_IS630_unknown	1113	IS1471
MGE_124	IS1476_ISL3_unknown	1500	IS1476
MGE_125	IS1480a_IS5_IS1031	848	IS1480a
MGE_126	IS1481A_IS4_IS10	1350	IS1481A
MGE_127	IS1485_IS3_IS150	1366	IS1485
MGE_128	IS1489v1_ISL3_unknown	1898	IS1489v1
MGE_129	IS1490_IS256_unknown	1433	IS1490
